Sentiment,Tweet
negative,lemes mulut berani ststus sudah gitu tulis sengaja biar nggak baca takut kali labrak mmmm artis kampung sih wajib ajar
negative,main main jawa timur biar nggak begok
negative,nya ngatain orang nyindir netijen goblog banyak masyako
negative,sudah nunjukin karya situ pny karya karya nyinyir hidup via tolol
negative,bilang saya fansnya via aduh nantangin saya ini orang anak tolol anak norak jarang belai
negative,yutub mbak aplikasi saya tau youtube mbak gak tahu seseorg bisa dapat hasil salah satu dr youtube loh mreka juga bayar kalau banyak yang nonton video mreka sekolah yang benar deh mbak biar pinter generasi muda
negative,saya suka gangerti deh yaa kalau via vallen bikin status apa sangkut pautin sama att melulu att nya saja saja fansnya sih yang bikin jelek orang kalau sangkut pautin melulu juga lama gerah kali
negative,jujur saja ini orang bagus tidak oplas tu foto belum dn oplas dioplas muka aneh kyknya gagal oplasnya
negative,noraaak abiiis kebel emas astrazeneca pamer aplg main berlian ciiinnnnn
negative,before and after pasca oplas nggak ngefek tetep jelek dan rem muka ahahahhaha
negative,salfok muka sumpah jelek oplas model failed
negative,norak benar gaet jahat
negative,najis di philipine banget kali di saja bangga jadi usak moral komando bangga najis banget liat cukup di saja komen ny pngn ngetop lewat nitezerrre wkwkwk ngarep laku
negative,saya bingung jujur media rebut ngeliput orang kayak cuman net doang media informasi waras
negative,jedun yang nggak becus perempuan hormat nggak becus perempuan cerdas nggak becus perempuan yang cari suami sah suami orang nggak becus perempuan yang hindar narkotika psikotropika dan obat larang nggak becus perempuan yang jaga nama keluarga moga perempuan yang kayak dunia jedun
negative,cewek yang bgni yang hrsnya gosong jadi abu saja bakar pabrik yang lagi viral kemarin tu bnr2 slain nggak brguna gda otak cm modal ngangkang terus gebet laki orang terus bangga ngomong-ngomong kalau emg instastory nya nyindir bin tua mah ehhh at least biar nggak becus jadi prewi tapi becus cuii jadi emak bukti anak nya banyak terus smua profesional emaknya drpd bapak
negative,hahaha kasi gak becus rem ngerebut laki orang biar kata perempuan dasar perempuan sadar ente cuy
negative,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami orang yang kaya
negative,ih becus makrum becus ngrebut suami orang he
negative,eeee si lacur situ becus jadi brempuan emang becus sampah sih iya edeuuuuuh lonte lonte
negative,biarin puas puasin selagi deseu brasa muda nanti kalau deh tua nyaho karma
negative,anak perempuan lho contohin jelek anak becus perempuan amit amit
negative,kaya becus saja jadi permpuan yng g becus jadi perempuan komando suka sm laki orng heheh
negative,yang gk becus tuh loh jedun hidup nya bisa ngerusak kbhgiaan orang mau hidup serba mewah tapi g krja mlh morotin laki orang karma pasti akn mnghampirimu
negative,saya gak suka sm ini orang idupnya banyak ribut
negative,dasar artis abal abal enggk laku layar kaca udh enggk duit kelompok remaja miskin main ke dukun elmu pelet rebut suami orang yang kaya
negative,yang nama ny plagiat plagiat laku tapi tetep ajah cipta dari hasil plagiat wkwkwkwk saya mah tidak mau dwngerin ajah udh pngen muntah
negative,dasar plagiat nggak kreatip memalukab banget
negative,bego bilang apa yaaa lirik saja cinta gitu lagu bener2 tolol si ayu gapunya kuping ya orang yang dipermasalahin nada
negative,pacar anggel pietrs kali cowok bocah yaelah jes terxta laku mu saja seperti ayuting2 hidup penuh drama murah
negative,japok gateeel emang uda main si mamad sampai si jessica dimusuhin deddy corbuzier saja jijik si japok semenjak nagita undang hitam putih nagita cerita panggung saja sih saya
negative,malu buk bicara pelakor emang ibuk sudah pelakor tahu ayu pelakor wkwkwkwkwk awas rumah tangga yang dimasukin pelakor anak pelakor
negative,kerdus mulut busuk sampah makan
negative,tai kamu gedein bagus pupuk jngan banyak bicara kamu bodoh ini cewek kenapa bawa2 suku
negative,elo artis papan blenyek saja belagu artis kga populer sekalu hahaha
negative,anang muka nya kaya babiii gitu saja demenin jijikk
negative,nggak suka ayu ting ting nggak parah ngejudge nya hati otak manusia kurang lebih asa enak nya menjudge orang kaya sudah sempurna saja kamu
negative,nggak pantes panggil ustad orang munafik ceramah orang laku sndr saja menzolimi istri sah nya dengan poligami diam2 kasihan istri pertama nggak tahu mantri hutan dan lurah istri hadeh kalau yang masih manggil buat ceramah nama bodo
negative,biadab kalau anak kamu bully saya mampusin
negative,dasar anjing tuh cowok orang berani cowok one by one yang lemah dasar yah cowok2 jaman skrg casing doank cowok nyali nya lebih2 banci
negative,iya kasi si micin usah produk micin iklan kalau masak tambah micin biar sedap netizen sudut mecin bodoh orang yang ganggu jiwa ngemil micin
negative,wahh jngn2 vidio baju norak bngtt ayuu murahaan
negative,bego kamu
negative,edit banget ampun si mommy lambe habis gosib si pelakor
negative,yah admin nya golong konsumsi mecin pria idam lain pcc otak kamu rusak min
negative,orang govlok yang prcya ayu slgkuh sama rafi bukti rafi sama gigi skrg baek2 saja ktamu ayu pelakor suami yang di rebut woyy skrg ayu suami fikir pke otak mkanya jangan kbanyakan micin jadi govlok
negative,hoy baris sakit hati jijikk banget fans billy mah alhamdulillah banget billy putus manusiaa buluk ituu yang tunggu lama2 akhiry putus kobil juga jijik ini orang v
negative,mbak gak ngerasa cinlok babang anthony ketemu sih set boy alah aku ajaaa mbak dumang cinlok sok2 bilang gak cinlok nama bodoh wajib ajar netizen bilang ratu cinlok nyata emang marah resiko artis hahahhaa pinter2 mbak cari alas hahahahaha
negative,noh urus tu kuin kamu biar nggak gatel nempel2 sama laki orng masyarakat udh tahu kali japok gundik janda gatel udh nyata nya begtu anak sholehah agama nya kuat mata kuliah agama cma dapat 1 agama nya kuat tapi hamil
negative,bilang tu kuin kamu gesek grepe sama lakik orng nggak mantri hutan dan lurah udh hamil nikah kegatelan janda
negative,please kamu bela pelakor hukum si muljem karena uda tega recut suami sahabat jalan sanksi sosial valakor mesti benci karena biar nggak valakor indonesia biar musnah sem
negative,najis muakk jijik pelakor jijik
negative,moga pelakor2 kena karma moga karma yang tinggal istri yang bwrjuang dengan dr nol tapi sukses selingkuh sok jadi kuasa istri
negative,sedih skrg ngamen kawin orang mantan istri mahhhh pesawat jet bhay pelakor dan botakbego
negative,heeehh kamu pelakornya yaaaakkk ngapa kamu emosi situuu kenal saya kalau berani pakai akun asli pantes pakai akun bodong ngerebut laki orang diem2 ceplos yak pakai bodong tertawa gueeee lucu kamu
negative,wkwkwkwk udh gak laku jadi nyanyi dhajatan si lonte pelakor
negative,wakakak cerita seperti gituu ajar saja jangan sampai ini swamik swamik milih pelakor drpd istri hancuuurr bookk nggak bohong deh kelompok remaja kismin nyungsep emang yang ngatur rezeki tu tuha
negative,cwenya yang bego cwonya yang pinter emg laki kaya macho gitu plus nya kayak jago suka rayu maennya gesit ulala
negative,yang bodoh sedang apa keluarga depok komen orang yang gak saja yang hidup gak bahagia yang suka hujat orang hidup artis ayu pengaruh emang dasar benci ayu kalau
negative,mah lihat yang main prasangka kayak kamu kamu haters kayak dukun dukun titis dajjal sok pinter otak kosong maaf ye saya bala nabi muhammad yang percaya kalau udh ditunjukkin 4 saksi bukti kalau
negative,mata ku sepet baca koment fans ubul empang minggir woy bikin rusuh saja ini jaer amis jijik sumpah soal enji sm cewek ttp saja bala jaer nyampah bikin ribut
negative,sih si enji hart males banget jijik laki model mah gak tanggung jwbnya ayu bunting tinggalin anak gak akuin skrg anak udh nongol bilqis cantek eh sampek bini nya ngeposting yang enji kangen anak najonggg jijik betoll deh deh min gak bahas laki hart saja gak panutan yang ambil
negative,bego nya percaya diri bicara yang bilang benar bukti saja tidak lihat pinter jatohnya bego
negative,bilang enji ganteng bebas slingkuh bego kali ganteng kepala kamu bau menyan gada ganteng ganteng nya banyak gaya seperti mantan bini depok nya
negative,sebenarnye cocok enji att gateeeel hahah pantesan si tongtong temu dengan enji udh hukum alam kalau jodoh cermin si entong hrsnya bekaca dengan biar sadar tapi teryata otak 1 m tetep tahan jadi skrg mlh guatelnye saja seperti enji hah
negative,oalaahhh saja pelakor laki nya juga kegatelan tapi nama laki kucing ksh ikan jaer gratis kga nolak wkwkkwkw
negative,laki2 sis suka pecun2 murah prempuan baik2 jilbab atau pintar enji2 downgrade sih dangdut kelas prempuan jilbab ehh milih perek culun jelek selera
negative,motorninja saja sombong mbak orang yang mobil lamborgini saja wae
negative,bodoh saya nonton kali kaget
negative,nggak usa pakai anjing babi kalau saya balas gitu wkwk
negative,kemarin harga karya orang bilang jelek banget aduh penganten perempuan nya kenyang yah ampe kembung gitu perut nya
negative,percaya gimik raffi gigi dn att att serta keluarga hujad dn anak ny hujad kesini tonton bodohin publik yang kasihan penghujad nggak ayu nggak pesbukers biar ngeluarkn album single artis hal nengri gimik yoo
negative,kalau benar gimmick bodoh banget si ayu rating dan popularitas berani taruhin harga nilai buruk mata masyarakat
negative,susah otak diemvang mah bikin rusuh lapak orang
negative,najiiisss kayak si mbak dese nggak gitu ajaaa hahahahaha maling teriak maling ngaca buuuuuk
negative,iyak kaa hahahahah geli banget gasih att ih kampung habis
negative,joget bikin ngakakkk anjirrrr kampung banget
negative,bagus lah saya otak gak kayak kamu mantri hutan dan lurah maluin ibu kamu saja tong akun asli pakai tu yang nama bego
negative,yang bego mah kamu sih yang beri contoh buruk anak pakai mata kamu emg dugem bawa anak bego sih - - jaman sudah texas saya jamin jam anak juga udh texas nggak ngerugiin kamu ya sudah sewot banget
negative,si wanita jahiliyah lesbi skrg udh py pacar lagi kasi anak kemarin ksh bencana slnya tega misahin anak dr nya ktakutan anak nya masuk islam pdhl bp nya g pernah nuntut anak peluk islam udh ksh nikmat anak 3 orang masih saja nakal
negative,saya emang kador artis beneran komen kamu tolol sumpah kenal nilai artis hahaha orang indo juga tuju kalau kador artis tapi celebgram dr kampung kamu tahu beda artis dengan selebgra
negative,hahahaaaa terus saya kamu tolol pakai tanya kador banci tidak belum kenal wkwkwkwkw eh orang juga nilai si kador banci beneran dr gerak gerik melambay suara ngondek pakai baju cewek nyaman cowok tu
negative,maklumin shaaay fans gatis keras otak bebel realita juga nggak terima hal nagita artis uda dr jaman eh bilang numpang tenar rapi mamad pdhl yang jadi si mamad gede ya ph dan
negative,bee idih najong kamu tag2 orang nimbrung saja seperti mujaer kamu nggak kenal kalau nggak bawa2 nama ayu ting ting sm nagita aduh bego piara kasihan
negative,langsung bilang yang maksud klu gin nama munafik
negative,jedar emg muka 2 kali depan belakang busuk mulut seperti banci cucoklah 2 banci tu
negative,amit amit deh orang jahat jilat bohong pelakor jijik banget
negative,wkwkwkwk allah tuhan ku kenapa orang munafik ini tapi sok suci mulan jamela ayu ting2 ngikuti jejak a wkwkwk
negative,dulu si pelakor yang sombong karena brhasil dapetin si botak smpe mnceraikan bunda maya skrg hdp ny mkin anjlok bunda maya yang sring jelong2 kluarnegri
negative,hahhahaha sungguh allah swt laknat wanita rebut zina suami sah oranglain
negative,lina2706 hemmmm capekmiskin sist skrg blik kelompok remaja lagi jadi artis juga g laku deh karma tu dr sirik nyinyirin nyonya tuh bantuin jual cireng nya tuh cilok nya tuh untun libur monaco bromo trus
negative,mau tahu urus orang sm nyonyiah kamu jongos memang tetehlu pas hamil peak udeh dinikahin brojol anak baru sirih memang lonteeeee kelas akun jamahliur junjung he
negative,eh jongos cba saya duluan yang tanya sm kamu memang nyonyiah gembar gembor sudah nikah ada nyonyiah aku udeh nikah dr tetehlu yang lonte perempuan eksperimen wanita tuna susila brojol aku nikah siri sm laki nyonyiah hamidun sapeak anak ilegal dibilng fitna keji tertawa lonte tolak lupa xixix
negative,saya currr bunmai sudah nikah tapi janda janda suami nya rampas mulan jameela jijik banget mulan jameela belum rumah tangga bunmai hancur sudah berani bilang dan suami aduha udh wanita be
negative,lina2706 lucu saja sist lonte bela2 mati2an goblok pelihara bayar begitu muljamban sampai bikin account maia nikah belum nikah urus situ nyinyir sirik nya
negative,yaela muljem kyak stu bner saja tidak inget udh ngrusak kbhagian keluarga orang bego di prtahanin ya gin
negative,lakik doyan banci banci kawinin banci jijik
negative,comment yang lihat berapa guna medsos yang bodoh bunyi situ sehat pakai hijab mas nyinyir saja
negative,mantri hutan dan lurah tuh kerudung sayang ibadah nya sholat saja drpd nyinyirin orang dandan udh sok suci mulut nya kaya sampah
negative,baca arti dr comment sudah kerdus bodoh lagi bilangin orang tua nya besok kalau masak pakai mecin jadi sudah kerdungab nggak sesuai mulut besok makan salmon kalau g besok deliv rumah
negative,maaf muka jelek attitude nya buruk spesialis plagiat dan tahu
negative,orang otak nggak sekolahin resiko sudah upload sosmed dapat bincang netizen public figure nggak otak
negative,artis kampung wkwk
negative,iyaaa saya pacar sudah nikah gak norak eloo gak risih emang jangan aplod perhati followers kamu yang lumayan sebentar bawa norak
negative,ya ampun pnyanyi dangdut tenar sombong bangt bacot pngn cari sensasi kmpungan bangt deh amit amit bool komando di instastory
negative,waaaaoooo sopan bahasami kelas heeeehh yang repot sama hidup kamu siapahh kamu live nampilin hal2 gak yang nggilanikk jijik liat orang pantes dikomen kalau gak now watching dikomen videoin pribadi saja nonton kamu sama keluarga kamu rumah nambah niy ertong yang gak pny attutude kampung
negative,norak sih kayak nggak malu kalau bilang serah sudah simpan foto gak bagi semua orang lah pamer resiko nyinyir orang insecure banget harus pamer2 gitu biar orang erti kalau si mbak udh py pacar yang dipamer2 pantat kampung banget
negative,kok marah sehhh dasar wanita kampung
negative,kampung artis yang numpang tenar gara2 muka katy perry doang
negative,susah kalau artis kampung
negative,ah min saya lama2 gak suka akun ini berita nya basi kamu lihat min si kellen amora dateng pakai jingkrak2 kamu saring min biar berita nya gak blunder kamu posting tu kd sudah posting videon kellen sama amora joget2 sama si arsya arsyi
negative,iya kilometer bening lewat bening buluk mbak mbak nelen apa sih komen kaya gin surup
negative,keluarga ngefans kagum lihat nya deh tapi lihat anak nya yang jelek buluk kan hermansyah kutuk yang timpa bunda kd untung allah swt ganti amora adik nya gemezzzzzzz lihat nya cocok banget anak artis class bunda kd
negative,emang dasar si anak nya saja yang lebih urus pribadi umbar biar blow up hadehh guna whatsapp sms or telepon suka aneh
negative,coba lihat bibir mu sayang pantat ayam wajah mu bulu kentut perfectoooo
negative,gagal fokus dengar suara kok jengkel dengernya maaf cuman manusia kalau jengkel
negative,muljem bicara gak blepot gak nyadar idup enak saja pakai rebut laki orang
negative,lucu si yang bikin kata2 bawa2 tuhan kalau deh pepet nggak tahu orang yang rusak rumah tangga orang ibarat roboh bangun masjid mbak nya bayangin saja nya dosa mu nasi deh jadi bubur mbak nya moga bahagia dunia
negative,iyah benar rubah pandang tuhan kamu setan mikirrrr suami majikan embat
negative,giling mulan jalang lagi kasih ceramah hahahaha dasar cireng gak tahu gak ngaca si cireng lagi ceramah sok2 seperti pahlawan siang biar teman sama ter seperti selpii
negative,pandang tuhan kamu jelek sih saya rebut suami orang tuh mulia mata tuhan
negative,karena sejati kamu setan wujud manusia karena kerja setan goda manusia
negative,tidak mbak baca netizen yang nyesel nggak bisa nimpuk telor si mulan saya saja ketawa baca karena wakil sedang apa buang2 wktu ketemu orang gak mutu dng si mulan masih untung nyempet2in bisa nuli biar nyadar tuh pelakor nggak harga lebih baik ketemu orang baik2 seperti bunmai tular aura positif
negative,editanx paraaaahh oplas saja laaah nyai drpd ngedit2 begini hahaa knot maluuu
negative,jelek lecek bantet
negative,gin ken tenar ampuuun mantri hutan dan lurah kalau anak yah kasi
negative,heran saya ibu kenapa saja pakai sama an v pesbu r ny bederet skandal bertubi2 gk mantri hutan dan lurah ny muka tembok gak faedah ny nonton acara yang si manusia kardus
negative,wey orang bodoh bedain vape shisha sm rokok kamu ngerokok pakai acara nggak aku
negative,jijik liat kaya ulet bulu kluget2 gitu hihihi ampe sgitunya ken kenal
negative,jarang belai anjing muka murah bangetttt najisss
negative,alycia iya sist jijik banget saya liat sok suci ngatain orang kalau saya sih malu artis papan otak gak fikir kalau bicara tahu bngt gada wibawa kalau emang nyadar tahu komentar manusia gada yang
positive,sabar yaa insya allah buka pintu syurga halang api neraka orang tua
positive,lagu baru mbak tata kisah rumah tangga mbak tata mbak tata bener2 sayang get suami syukur baik moga awet
positive,yang komen si mbak nggak sedih ketawa2 iya kalau deh sakit sm pasang smpe berlarut2 sedang apa sih sedih ampe depresi serahin sm allah saja bawa bahagia saja meski sakit si mbak senyum2 wajah tapi hati tahu senyum bisa jadi menetralisir kondisi hati yang lagi puruk pepatah bilang kalau bahagia jangan trllu bahagia kalau sedih jangan trllu sedih imbang saja biar nggak gila
positive,suka banget pasang moga gigi raffi keluarga sakinnah mawaddah warrahmah moga pihak2 pisah jodoh maut pisah amiin
positive,jemima anak angkat celine eleeya anak hubung celine dirly haru tahu jemima anak panti asuh rawat wajib ajar stefen pilih celine karena hati
positive,lucu yang bilang stefan menghabiskn muda wkwk umur mah gak muda muka saja yang baby face syukur bonus celinenya dulu mantan begimane bawah umur ude pacran mcam laki bini hiks lepas tu deh susah ambil putus kaya stefan tipical cowo yang tnggung jwabnya
positive,yang bawa2 keenan raisa sudah bahagia ngedapetin suami super ngemong mature kaya hamish raisa dewasa banding wanita umur mikirin jadi saya raisa hamish sama2 untung pasang suami istri nggak tuh gagal move on so congratz raisa hamish moga nikah sakinah mawadah warahmah
positive,raisa cantik yaaa artis nggak tonjol kalau nikah tuh mewah sudah cantik sederhana sempurna banget
positive,karena orang syudah cantik nggak dandan heboh untuk buat cantik makeup simple gitu saja pesona bikin hamish klepek2
positive,bagus cari ilmu mana suami orang didik
positive,sukak cewek cantik kmauan blajarnya
positive,yaampun artis benar benar good attitude layak panutan saja kuliah negri tapi karena bakti suami pilih kuliah wilayah suami salut banget
positive,semangat batman va support karena manusia salah bahas pliis karena sudah 2
positive,ya udh salam kenal ya mbk neng kenal sm mbk sbagai manusia ingetin ya sbagai manusia harus tahu jangan sombong yang digedein mentang2 deh jadi artis tertawa ya udh mbk pergi saja ya dari komen di foto ini nnt jadi korban dy sel
positive,keren yaaa sederhana pancar sukak sm keluarga presiden
positive,presiden embel gelar bangga
positive,proud of you indonesia god bless indonesia
positive,amazing bngt miss national costume kereenn bangga sama budaya indonesia
positive,bangga pasti
positive,proud of you kak dea patut bangga
positive,suka banget sm pidatox dy pembawaanx bgtu elegan dan brwibawah pntas mmg dy mdptkan salut
positive,percaya kak nik orang jujur semangat kak nik hebat
positive,m mbak saya juga nggak benci nikmir salut sama nggak munafik artis maaf image saja dpan sok sok aniaya dan jual air mata nikita real sygnya msyarakat cendrung yang yang superfisial
positive,cantik alami bedak tebel gaya bak tante2
positive,cantik gagah mudah lancar dampe h
positive,cantik tampil dewasa sesuai muka cantik indonesia classy ayu ayu bagaimana gitu
positive,lcb cantikk lcb untung dapat durian durian beuntung dapat neng lcb sakina mawaddah warahmah amin
positive,ganteng seragam ganteng panutan keluarga moga anak milik fisik elok mahluk allah ini
positive,untung banget deh mbak dapat mas ganteng sholeh sayang keluarga ini suami idam banget moga keluarga samawa
positive,smoga mas agus pimpin datang salah pimpin yang sukses sukses dalam pimpin dalam rumah tangga
positive,dear bapak cra berpakain bapak cermin pribadi bapak yang sngt lembut tapi gagah moga bapak lurah dalam lindung allah swt salam hormat dari yang kagum bapak -
positive,sukses kak ayu moga senantiasa naung allah swt sehat amin
positive,smg sehat umur yah nek muda banget cantik mashaallahhh
positive,terimakasih keluarga pilih plataran darmawangsa acara keluarga staff plataran darmawangsa kes tunggu datang keluarga sehat keluarga amin amin rabbi
positive,salam dirgantara terima kasih dukung sebar awareness kait program pesawat r80 moga momen emas titik bangkit industri pesawat terbang indonesia jaya eyang habibie yuk satu langkah terbang pesawat r80 langsung klik link bio yaaa
positive,semangat eyang habibie sehat dalam lindung allah ambisi kuat dalam kereeeennnnn moga banyak penurus2 bangsa seperti eyang habibie
